,Date,Open,High,Low,Close,Volume,Currency
131,2020-07-10,57.54,58.15,55.51,55.88,59840000,USD
132,2020-07-13,56.7,58.34,53.4,53.59,57741820,USD
133,2020-07-14,53.52,54.85,52.28,54.72,54890112,USD
134,2020-07-15,54.96,55.37,53.66,55.34,42360280,USD
135,2020-07-16,54.68,55.13,53.75,54.92,36887080,USD
136,2020-07-17,55.31,55.81,54.68,55.04,34710000,USD
137,2020-07-20,55.23,57.53,54.83,57.46,45034000,USD
138,2020-07-21,57.83,58.44,56.33,57.0,44800688,USD
139,2020-07-22,57.09,62.0,56.97,61.79,135159424,USD
140,2020-07-23,61.79,62.25,58.64,59.57,106829112,USD
141,2020-07-24,64.18,69.94,64.05,69.4,205314496,USD
142,2020-07-27,69.32,71.57,67.82,68.97,107918072,USD
143,2020-07-28,67.94,69.8,67.06,67.61,94181376,USD
144,2020-07-29,75.5,77.19,73.9,76.09,132969696,USD
145,2020-07-30,75.44,78.95,75.1,78.2,80286888,USD
146,2020-07-31,78.67,78.96,75.36,77.43,71699696,USD
147,2020-08-03,78.35,78.44,77.17,77.67,42628816,USD
148,2020-08-04,78.07,85.77,78.02,85.04,155676112,USD
149,2020-08-05,85.01,86.32,83.37,85.31,65737304,USD
150,2020-08-06,85.49,86.96,84.81,86.71,53961740,USD
151,2020-08-07,86.67,87.29,82.67,84.85,66543200,USD
152,2020-08-10,84.96,84.97,79.39,82.24,70536144,USD
153,2020-08-11,80.48,80.53,76.2,76.88,77877664,USD
154,2020-08-12,78.43,82.87,77.58,82.61,88607832,USD
155,2020-08-13,83.03,83.99,81.55,81.84,57407356,USD
156,2020-08-14,81.81,83.24,80.88,81.3,42389500,USD
157,2020-08-17,82.14,83.06,81.56,82.42,31450156,USD
158,2020-08-18,82.8,82.8,81.03,81.66,30970484,USD
159,2020-08-19,81.7,81.8,80.47,81.09,37507392,USD
160,2020-08-20,79.17,82.83,79.17,82.77,42948860,USD
161,2020-08-21,83.29,84.41,82.23,83.81,48280300,USD
162,2020-08-24,84.71,85.28,82.56,83.08,38036068,USD
163,2020-08-25,83.25,86.61,82.43,86.35,49234400,USD
164,2020-08-26,87.07,87.67,85.2,86.02,47157272,USD
165,2020-08-27,86.15,86.53,82.95,83.8,42194224,USD
166,2020-08-28,84.3,86.04,84.19,85.55,40723300,USD
167,2020-08-31,85.31,92.64,85.25,90.82,90655944,USD
168,2020-09-01,91.92,92.51,90.19,92.18,55664900,USD
169,2020-09-02,94.01,94.21,88.76,90.22,50366920,USD
170,2020-09-03,87.76,88.39,81.62,82.54,87462688,USD
171,2020-09-04,81.45,84.39,76.33,82.01,82267800,USD
172,2020-09-08,78.13,81.83,78.05,78.69,54955672,USD
173,2020-09-09,81.4,82.44,79.29,81.91,54163880,USD
174,2020-09-10,83.26,83.26,78.4,78.98,51499396,USD
175,2020-09-11,79.82,79.99,75.04,76.34,54763000,USD
176,2020-09-14,76.88,78.81,76.27,77.9,47448680,USD
177,2020-09-15,77.66,80.33,76.0,78.93,57874428,USD
