,Date,Open,High,Low,Close,Volume,Currency
40,2020-03-02,28.44,29.69,28.28,29.68,11951134,USD
41,2020-03-03,29.52,30.42,28.97,29.34,10566915,USD
42,2020-03-04,29.68,30.97,29.65,30.96,9597759,USD
43,2020-03-05,30.65,33.7,30.43,33.47,25208114,USD
44,2020-03-06,32.72,32.99,31.51,32.04,14613601,USD
45,2020-03-09,30.68,31.7,30.0,31.25,13149889,USD
46,2020-03-10,31.3,32.75,31.18,32.6,16506566,USD
47,2020-03-11,31.81,32.26,30.07,30.59,12935307,USD
48,2020-03-12,28.6,30.38,28.37,29.12,15294030,USD
49,2020-03-13,30.54,30.98,28.25,30.71,16518294,USD
50,2020-03-16,29.33,33.21,29.0,31.1,24770336,USD
51,2020-03-17,31.81,34.94,30.91,33.0,25167920,USD
52,2020-03-18,33.77,36.81,32.55,33.91,25779350,USD
53,2020-03-19,35.74,36.48,33.42,34.18,16699288,USD
54,2020-03-20,34.25,34.25,31.03,31.77,21979240,USD
55,2020-03-23,31.78,32.72,30.77,31.08,13199886,USD
56,2020-03-24,31.5,31.5,29.42,30.15,13695016,USD
57,2020-03-25,29.99,30.15,27.85,27.94,20520976,USD
58,2020-03-26,28.01,29.18,27.37,29.0,18245412,USD
59,2020-03-27,29.32,29.87,28.55,29.13,14993045,USD
60,2020-03-30,30.0,30.36,29.12,29.65,12973072,USD
61,2020-03-31,29.58,30.26,29.1,30.12,17225248,USD
62,2020-04-01,30.3,31.78,29.83,30.5,17162572,USD
63,2020-04-02,30.23,31.99,29.85,31.6,18951464,USD
64,2020-04-03,31.61,32.84,31.6,32.29,14538920,USD
65,2020-04-06,32.3,32.76,31.28,32.63,15549187,USD
66,2020-04-07,31.46,32.5,30.57,31.86,16983054,USD
67,2020-04-08,31.71,31.95,30.72,31.02,18720658,USD
68,2020-04-09,30.33,31.3,30.01,31.06,17331684,USD
69,2020-04-13,31.2,32.22,31.05,31.33,13509353,USD
70,2020-04-14,32.05,32.37,31.57,32.09,13328057,USD
71,2020-04-15,32.37,32.49,31.07,32.03,16203232,USD
72,2020-04-16,32.05,32.63,31.84,31.95,14498738,USD
73,2020-04-17,31.85,32.13,30.89,31.93,15774551,USD
74,2020-04-20,32.1,32.62,31.74,31.93,11003147,USD
75,2020-04-21,32.17,32.6,31.74,32.17,14815434,USD
76,2020-04-22,32.33,32.61,32.08,32.31,9433382,USD
77,2020-04-23,32.05,33.1,31.96,32.88,11731664,USD
78,2020-04-24,33.02,33.11,32.47,32.96,9342441,USD
79,2020-04-27,32.98,33.53,32.98,33.28,10093832,USD
80,2020-04-28,33.07,33.42,32.25,32.36,13705593,USD
81,2020-04-29,31.89,32.19,31.1,31.52,14016533,USD
82,2020-04-30,31.7,32.05,31.27,31.61,12290164,USD
83,2020-05-01,31.44,32.13,31.23,31.96,7736974,USD
84,2020-05-04,32.58,32.75,31.83,32.53,9610070,USD
85,2020-05-05,32.57,32.97,32.21,32.81,7269774,USD
86,2020-05-06,32.99,33.28,32.72,32.78,7380075,USD
87,2020-05-07,32.9,33.19,32.48,32.68,6263644,USD
88,2020-05-08,32.7,33.52,32.55,33.34,7917201,USD
89,2020-05-11,33.45,34.03,33.36,33.73,8767077,USD
90,2020-05-12,33.83,34.23,33.5,33.55,6569583,USD
91,2020-05-13,33.69,34.5,33.69,34.1,8875855,USD
92,2020-05-14,34.04,34.19,32.38,32.78,11098421,USD
93,2020-05-15,32.78,32.92,32.26,32.51,15070916,USD
94,2020-05-18,32.46,32.49,31.5,32.26,12825044,USD
95,2020-05-19,32.35,32.49,31.76,31.76,7383417,USD
96,2020-05-20,32.02,32.37,31.61,32.3,7838083,USD
97,2020-05-21,32.33,32.49,31.85,32.12,7096958,USD
98,2020-05-22,32.23,32.58,32.07,32.37,6134463,USD
99,2020-05-26,32.07,32.37,31.3,31.37,9838001,USD
100,2020-05-27,31.51,33.28,31.3,33.28,14999696,USD
101,2020-05-28,33.55,33.76,32.02,32.06,13329368,USD
102,2020-05-29,32.17,32.71,31.62,32.62,16545626,USD
103,2020-06-01,32.73,33.19,32.44,32.49,6933894,USD
104,2020-06-02,32.45,33.0,32.31,33.0,6764127,USD
105,2020-06-03,33.04,33.31,32.45,32.68,6579501,USD
106,2020-06-04,32.58,33.12,32.58,33.11,8774791,USD
107,2020-06-05,33.05,33.19,32.4,32.48,11374106,USD
108,2020-06-08,32.14,33.01,32.14,33.01,9460403,USD
109,2020-06-09,33.2,33.33,32.42,32.92,7507512,USD
110,2020-06-10,33.13,33.33,32.39,32.57,7871648,USD
