,Date,Open,High,Low,Close,Volume,Currency
40,2020-03-02,89.6,93.14,87.91,92.68,14102048,USD
41,2020-03-03,92.74,94.98,90.57,90.93,14767611,USD
42,2020-03-04,92.08,93.82,90.84,93.79,6904443,USD
43,2020-03-05,91.26,91.68,89.94,90.58,8851096,USD
44,2020-03-06,88.36,89.39,85.88,88.36,12336707,USD
45,2020-03-09,81.89,86.74,80.92,84.11,13272738,USD
46,2020-03-10,86.69,88.4,82.88,88.3,12755879,USD
47,2020-03-11,84.0,84.62,82.07,84.0,16172670,USD
48,2020-03-12,78.23,78.49,73.0,74.2,21534806,USD
49,2020-03-13,78.2,78.2,71.76,75.58,21859584,USD
50,2020-03-16,65.28,72.97,63.37,66.79,17976684,USD
51,2020-03-17,67.51,73.33,62.4,69.84,17122100,USD
52,2020-03-18,64.89,68.25,60.01,68.04,19498804,USD
53,2020-03-19,67.06,72.69,64.18,70.34,16177152,USD
54,2020-03-20,71.51,74.06,67.2,67.45,15761860,USD
55,2020-03-23,65.0,66.88,60.58,62.8,17689998,USD
56,2020-03-24,65.81,72.56,64.15,72.33,18849460,USD
57,2020-03-25,79.76,83.48,76.28,79.01,27053246,USD
58,2020-03-26,80.26,86.86,80.26,84.3,17204692,USD
59,2020-03-27,81.69,85.73,79.53,83.23,14183379,USD
60,2020-03-30,84.0,85.96,81.5,85.38,10960126,USD
61,2020-03-31,85.13,85.73,82.4,82.74,9618581,USD
62,2020-04-01,79.49,81.18,78.53,79.23,9771306,USD
63,2020-04-02,79.0,81.6,77.16,80.14,12731460,USD
64,2020-04-03,79.36,79.79,77.9,78.86,8476870,USD
65,2020-04-06,81.91,85.04,81.21,84.63,11266497,USD
66,2020-04-07,88.7,88.87,84.03,84.16,10468058,USD
67,2020-04-08,84.7,85.77,83.61,85.3,6642735,USD
68,2020-04-09,86.69,87.39,85.16,86.79,7773978,USD
69,2020-04-13,85.8,85.99,84.14,84.46,5077961,USD
70,2020-04-14,85.95,87.77,85.48,87.47,6397244,USD
71,2020-04-15,84.87,85.88,83.71,85.04,8053875,USD
72,2020-04-16,85.43,86.53,84.55,86.3,9373831,USD
73,2020-04-17,89.0,90.25,88.36,89.91,8111384,USD
74,2020-04-20,88.43,89.44,87.52,87.9,7244372,USD
75,2020-04-21,85.99,86.9,85.09,85.2,6596992,USD
76,2020-04-22,86.98,89.44,86.42,88.77,6463929,USD
77,2020-04-23,88.94,89.53,87.26,87.35,5343535,USD
78,2020-04-24,88.89,89.12,87.64,88.37,4450191,USD
79,2020-04-27,88.38,89.87,87.31,89.37,6875240,USD
80,2020-04-28,90.55,90.71,88.63,88.8,5145355,USD
81,2020-04-29,90.0,91.39,87.83,88.07,9461406,USD
82,2020-04-30,87.0,88.0,86.5,87.18,9371430,USD
83,2020-05-01,85.67,86.11,84.81,85.54,6151242,USD
84,2020-05-04,84.68,85.8,84.31,85.75,6349037,USD
85,2020-05-05,86.54,88.53,86.03,87.2,6321466,USD
86,2020-05-06,88.05,88.69,87.43,88.44,7342304,USD
87,2020-05-07,89.4,90.24,88.38,88.56,4566317,USD
88,2020-05-08,90.11,90.64,89.59,90.46,5489391,USD
89,2020-05-11,89.45,91.42,89.14,90.93,4937550,USD
90,2020-05-12,91.53,91.67,88.15,88.26,5622578,USD
91,2020-05-13,87.29,87.72,85.21,86.02,6739827,USD
92,2020-05-14,85.0,86.58,84.11,86.55,7046068,USD
93,2020-05-15,85.34,87.23,84.88,86.99,9164990,USD
94,2020-05-18,90.13,91.56,89.88,91.04,8519615,USD
95,2020-05-19,90.89,93.82,90.89,91.51,6514141,USD
96,2020-05-20,93.22,93.84,92.72,92.95,6346990,USD
97,2020-05-21,92.88,94.38,92.37,94.26,7494056,USD
98,2020-05-22,94.42,94.65,93.35,93.75,4049578,USD
99,2020-05-26,95.69,97.4,95.69,96.62,7185192,USD
100,2020-05-27,98.33,99.99,97.64,99.87,7915885,USD
101,2020-05-28,100.0,100.65,98.28,98.46,7262328,USD
102,2020-05-29,98.19,99.25,96.93,98.58,10333350,USD
103,2020-06-01,98.4,99.78,97.89,99.54,4299739,USD
104,2020-06-02,99.43,100.88,98.84,100.74,10798734,USD
105,2020-06-03,101.22,104.5,101.16,104.11,5867680,USD
106,2020-06-04,103.66,103.88,100.53,101.28,8775038,USD
107,2020-06-05,104.0,104.69,102.13,102.71,8363601,USD
108,2020-06-08,102.8,104.3,102.8,104.29,6165363,USD
109,2020-06-09,102.82,103.74,102.48,102.63,5385911,USD
110,2020-06-10,102.79,103.14,101.74,102.12,5194156,USD
