Date,AAPL,TSLA,DIS,T,COST,SIRI,WDC,UVXY,MRNA,OHI,SPY,GOOGL,KR,APHA,JPM,TSM,BOTZ,SAVE,SPOT,VWO,GRMN,MSFT,MGNI,SONO,SPCE
2007-07-26,4.505867958068848,,28.603891372680664,19.549530029296875,44.351741790771484,2.768233060836792,17.689579010009766,,,5.216813564300537,112.89071655273438,254.25425720214844,9.398406028747559,,31.55608558654785,6.298203468322754,,,,32.95292282104492,48.37529373168945,22.307891845703125,,,
2007-07-27,4.439515113830566,,28.318525314331055,19.19247817993164,43.9912223815918,2.7492082118988037,16.488292694091797,,,4.991682052612305,110.67131042480469,256.2012023925781,9.23007583618164,,31.66347312927246,6.224252700805664,,,,32.59273147583008,46.680999755859375,21.86888313293457,,,
2007-07-30,4.3648295402526855,,28.545143127441406,19.451705932617188,44.674705505371094,2.825310468673706,16.896575927734375,,,4.925695896148682,112.4025650024414,258.3133239746094,9.286185264587402,,32.035728454589844,6.335179805755615,,,,33.8463020324707,49.701534271240234,21.87632179260254,,,
2007-07-31,4.06639289855957,,27.697429656982422,19.153350830078125,44.915061950683594,2.863361120223999,16.76309585571289,,,5.018853664398193,111.13658142089844,255.2552490234375,9.103829383850098,,31.505979537963867,6.255064964294434,,,,33.369598388671875,49.01797866821289,21.571245193481445,,,
2007-08-01,4.166385650634766,,28.394062042236328,19.67669677734375,45.1554069519043,2.8348231315612793,16.94367790222168,,,5.434177875518799,111.67807006835938,256.7267150878906,9.46854305267334,,31.770858764648438,6.125650882720947,,,,32.83991622924805,54.10671615600586,21.801910400390625,,,
2007-08-02,4.212369918823242,,28.838903427124023,19.857654571533203,45.69618606567383,2.8443357944488525,17.06930923461914,,,5.193524360656738,112.57038116455078,255.76075744628906,9.398406028747559,,31.921201705932617,6.224252700805664,,,,33.189510345458984,57.19152069091797,21.965608596801758,,,
2007-08-03,4.069169998168945,,28.45281219482422,19.29518699645996,45.43331527709961,2.7587203979492188,16.543251037597656,,,5.112009525299072,109.67223358154297,251.7517547607422,9.058239936828613,,31.248266220092773,5.977746963500977,,,,31.851192474365234,57.64137649536133,21.548925399780273,,,
2007-08-06,4.174099922180176,,28.788545608520508,19.69136619567871,47.265968322753906,2.768233060836792,16.543251037597656,,,5.212929725646973,111.51028442382812,255.2552490234375,9.279169082641602,,32.2934455871582,6.174951076507568,,,,32.663360595703125,56.566375732421875,21.980497360229492,,,
2007-08-07,4.167311668395996,,28.998371124267578,19.789186477661133,48.3625373840332,2.863361120223999,15.718841552734375,,,5.399245262145996,112.70001983642578,258.2682800292969,9.20552921295166,,32.45810317993164,6.094838619232178,,,,32.78342056274414,58.6170654296875,21.987932205200195,,,
2007-08-08,4.1358323097229,,28.780153274536133,19.735393524169922,48.78314208984375,2.920438528060913,15.569662094116211,,,5.636019706726074,114.27120208740234,263.1531677246094,8.924980163574219,,33.295684814453125,6.329017162322998,,,,33.68740463256836,60.720359802246094,22.322776794433594,,,
