Date,AAPL,TSLA,DIS,T,COST,SIRI,WDC,UVXY,MRNA,OHI,SPY,GOOGL,KR,APHA,JPM,TSM,BOTZ,SAVE,SPOT,VWO,GRMN,MSFT,SONO,SPCE,MGNI
2000-03-07,273011200.0,,7588100.0,6848900.0,7506100.0,314300.0,2089500.0,,,107000.0,20062000.0,,7321200.0,,4566900.0,997400.0,,,,,,135061000.0,,,
2000-03-08,271230400.0,,6294500.0,6801600.0,6526600.0,490800.0,1306300.0,,,71300.0,11808500.0,,11982000.0,,5247700.0,1221900.0,,,,,,94290000.0,,,
2000-03-09,276718400.0,,5623000.0,5970700.0,4937300.0,118600.0,8568400.0,,,104600.0,5500900.0,,9740600.0,,3979500.0,1903800.0,,,,,,88198800.0,,,
2000-03-10,248606400.0,,7061900.0,7409900.0,4934000.0,150400.0,4687500.0,,,56300.0,7924600.0,,8901800.0,,5311300.0,7169500.0,,,,,,85589000.0,,,
2000-03-13,303956800.0,,5247400.0,6477800.0,3747300.0,505700.0,18814600.0,,,257600.0,10540500.0,,8371400.0,,4723300.0,3268100.0,,,,,,61831800.0,,,
2000-03-14,428579200.0,,5589500.0,6635300.0,2097100.0,287500.0,10510000.0,,,313800.0,8263900.0,,17360800.0,,4129600.0,2342600.0,,,,,,73489200.0,,,
2000-03-15,443609600.0,,6642900.0,7035600.0,5515300.0,535600.0,4792900.0,,,84600.0,10300800.0,,16044000.0,,8861700.0,3455700.0,,,,,,53208000.0,,,
2000-03-16,378100800.0,,8335100.0,9511100.0,12820600.0,484400.0,8804600.0,,,150100.0,25601400.0,,19580000.0,,15634900.0,3658300.0,,,,,,77300800.0,,,
2000-03-17,305043200.0,,8753600.0,9068200.0,7765900.0,165100.0,3706000.0,,,192500.0,10272900.0,,24912800.0,,11889100.0,4301700.0,,,,,,81161600.0,,,
2000-03-20,204489600.0,,16985600.0,4634400.0,3873800.0,166600.0,2666400.0,,,145900.0,12502300.0,,6327600.0,,8076100.0,12209700.0,,,,,,47773000.0,,,
2000-03-21,524328000.0,,13362000.0,4397500.0,4335200.0,245800.0,2091000.0,,,33300.0,13612600.0,,6636200.0,,8345500.0,9369800.0,,,,,,81648800.0,,,
2000-03-22,567996800.0,,13725800.0,5046800.0,5072800.0,409000.0,6757900.0,,,112400.0,8260000.0,,6431600.0,,8604100.0,4180300.0,,,,,,93975800.0,,,
2000-03-23,562564800.0,,8163800.0,5530300.0,2929400.0,329800.0,6106000.0,,,113600.0,11654500.0,,6318600.0,,10431400.0,4402200.0,,,,,,148224000.0,,,
2000-03-24,446913600.0,,6630400.0,5129800.0,5254700.0,122200.0,3399800.0,,,56500.0,11462900.0,,10621400.0,,9489000.0,2924000.0,,,,,,112196800.0,,,
2000-03-27,279182400.0,,5797600.0,5878800.0,2459100.0,243700.0,1644400.0,,,52900.0,8798600.0,,4420000.0,,4828900.0,2431100.0,,,,,,111434000.0,,,
2000-03-28,202966400.0,,7592600.0,6264600.0,6036600.0,245100.0,2174100.0,,,89400.0,6334400.0,,6712800.0,,7325700.0,1303800.0,,,,,,81114400.0,,,
2000-03-29,239836800.0,,5162400.0,6818400.0,5350400.0,405700.0,2756300.0,,,34400.0,6747500.0,,6470000.0,,9088300.0,2029600.0,,,,,,64363800.0,,,
2000-03-30,414400000.0,,5418600.0,8871800.0,8942800.0,557600.0,3406700.0,,,34400.0,9491900.0,,7183800.0,,8017200.0,1887000.0,,,,,,64178400.0,,,
2000-03-31,404633600.0,,5358200.0,7637900.0,9953300.0,1053500.0,4411600.0,,,215100.0,9249100.0,,6614000.0,,6805000.0,2042200.0,,,,,,64281400.0,,,
2000-04-03,328563200.0,,4870600.0,7712000.0,4199700.0,482200.0,1868800.0,,,200400.0,8508200.0,,11532600.0,,8509500.0,3254700.0,,,,,,260118200.0,,,
2000-04-04,660329600.0,,7049900.0,10787700.0,9565100.0,394300.0,3779900.0,,,165700.0,19585500.0,,21197600.0,,12638700.0,7898900.0,,,,,,181244400.0,,,
2000-04-05,457665600.0,,5140100.0,8541900.0,2591700.0,404800.0,5536500.0,,,100300.0,8387200.0,,9248000.0,,7310700.0,2829400.0,,,,,,82887600.0,,,
2000-04-06,259627200.0,,3615500.0,5801500.0,4240500.0,356900.0,3408200.0,,,185500.0,6378500.0,,6015400.0,,4853400.0,3536200.0,,,,,,66421400.0,,,
2000-04-07,242435200.0,,3298000.0,5166700.0,2588400.0,837500.0,1469100.0,,,60800.0,6023600.0,,5046400.0,,4914100.0,5654700.0,,,,,,82613600.0,,,
2000-04-10,212262400.0,,3665500.0,4222800.0,5795900.0,178700.0,1543400.0,,,67100.0,9624200.0,,4913600.0,,7864900.0,2267400.0,,,,,,60685400.0,,,
2000-04-11,541822400.0,,6923300.0,6522900.0,7303000.0,506400.0,1620900.0,,,65200.0,9006400.0,,10696800.0,,8217100.0,2959700.0,,,,,,71961800.0,,,
2000-04-12,941136000.0,,8414200.0,7787600.0,7751400.0,931700.0,1718600.0,,,120800.0,10779200.0,,14437200.0,,9133300.0,12369400.0,,,,,,153003800.0,,,
2000-04-13,529827200.0,,5078400.0,5746000.0,6418200.0,658100.0,2214200.0,,,79600.0,12225800.0,,7705600.0,,6781000.0,8636200.0,,,,,,94316200.0,,,
2000-04-14,667620800.0,,8248200.0,7487000.0,4131600.0,778300.0,2838000.0,,,67000.0,29604000.0,,8515600.0,,13084500.0,7030900.0,,,,,,151217800.0,,,
2000-04-17,409561600.0,,6537200.0,7506700.0,7134400.0,659400.0,2171100.0,,,57800.0,23918200.0,,9819400.0,,8708700.0,6777400.0,,,,,,119772200.0,,,
2000-04-18,390924800.0,,4275500.0,6746600.0,5177100.0,858900.0,1591500.0,,,88100.0,11069200.0,,12547000.0,,6833400.0,5738000.0,,,,,,91794600.0,,,
2000-04-19,520150400.0,,8579200.0,7169800.0,3508700.0,374400.0,1288400.0,,,45500.0,6553700.0,,9844600.0,,9057100.0,3182700.0,,,,,,53715400.0,,,
2000-04-20,722120000.0,,5438800.0,3875900.0,4288000.0,522700.0,1139700.0,,,40800.0,8537600.0,,5524800.0,,4540600.0,1493400.0,,,,,,52387400.0,,,
2000-04-24,443620800.0,,3844100.0,4906400.0,5967100.0,349600.0,1413700.0,,,103200.0,12893100.0,,8915600.0,,7792800.0,2206600.0,,,,,,313645800.0,,,
2000-04-25,391641600.0,,3749400.0,9328400.0,3733300.0,475700.0,3555500.0,,,179200.0,14102000.0,,6187000.0,,6327100.0,5241000.0,,,,,,159517400.0,,,
2000-04-26,366912000.0,,6002600.0,7447300.0,3081000.0,131700.0,1548700.0,,,61000.0,7711100.0,,6632800.0,,5500500.0,2807600.0,,,,,,107091200.0,,,
2000-04-27,326603200.0,,4674800.0,7162000.0,5615600.0,400400.0,1934500.0,,,64700.0,15595300.0,,6121400.0,,9298200.0,2372400.0,,,,,,77669800.0,,,
2000-04-28,249580800.0,,11731200.0,7246500.0,3699000.0,353400.0,3017000.0,,,50100.0,8743400.0,,5704400.0,,8603200.0,2069800.0,,,,,,78082600.0,,,
2000-05-01,226195200.0,,8919200.0,7139300.0,3629500.0,747500.0,1402300.0,,,143400.0,7328300.0,,7155000.0,,8439700.0,2111000.0,,,,,,107811000.0,,,
2000-05-02,236432000.0,,9296600.0,7203000.0,3729600.0,421800.0,1155500.0,,,284100.0,9411900.0,,7228800.0,,8411200.0,1696900.0,,,,,,97716200.0,,,
2000-05-03,489798400.0,,6513700.0,4745300.0,7462700.0,211800.0,1407400.0,,,331700.0,12630700.0,,4514600.0,,9320500.0,3722600.0,,,,,,55354800.0,,,
2000-05-04,399515200.0,,7127400.0,4526200.0,9973900.0,200800.0,611400.0,,,113300.0,5963600.0,,5978400.0,,6172200.0,2138600.0,,,,,,43317200.0,,,
2000-05-05,284076800.0,,3471300.0,4670100.0,4189400.0,416800.0,481700.0,,,100000.0,7862400.0,,4611400.0,,14505100.0,1947400.0,,,,,,36402200.0,,,
2000-05-08,184900800.0,,3582200.0,3999300.0,3451500.0,453500.0,709300.0,,,50400.0,5064100.0,,4036800.0,,5497600.0,2058700.0,,,,,,36187600.0,,,
2000-05-09,327140800.0,,3407000.0,4813900.0,2988400.0,200500.0,1446500.0,,,90300.0,5620300.0,,4214800.0,,6378000.0,1132500.0,,,,,,60778400.0,,,
2000-05-10,535091200.0,,6369800.0,8298300.0,3644300.0,419500.0,1406600.0,,,65300.0,10293900.0,,5841800.0,,6616000.0,3201100.0,,,,,,67740000.0,,,
2000-05-11,499744000.0,,3334500.0,5161300.0,2339900.0,227200.0,598500.0,,,67200.0,7091100.0,,6617600.0,,7853100.0,2622000.0,,,,,,58390800.0,,,
2000-05-12,306913600.0,,3104600.0,3479800.0,2610000.0,279000.0,1080000.0,,,526800.0,5960800.0,,5726000.0,,12221800.0,2926300.0,,,,,,37886000.0,,,
