Symbol,Price,Type,Strike,"Exp Date",DTE,Bid,Midpoint,Ask,Last,Volume,"Open Int",Vol/OI,IV,Time
XOM,45.89,Call,46.5,02/05/21,2,0.3,0.32,0.35,0.32,4056,1687,2.4,41.12%,02/02/21
GSUM,1.83,Call,2.5,08/20/21,199,0.05,0.15,0.25,0.1,991,422,2.35,42.94%,02/02/21
QS,44.1,Call,43.5,02/05/21,2,1.7,1.95,2.2,1.65,726,314,2.31,123.28%,02/02/21
PAAS,32.32,Put,27,01/21/22,352,5.3,5.45,5.6,5.3,1192,522,2.28,56.04%,02/02/21
XOM,45.89,Call,50,03/05/21,30,0.49,0.52,0.54,0.52,818,364,2.25,31.47%,02/02/21
GME,101,Call,12,04/16/21,72,75.4,78.35,81.3,78.35,1324,592,2.24,0.00%,02/02/21
FB,264.35,Call,115,09/16/22,590,155.6,157.55,159.5,157.9,670,300,2.23,30.65%,02/02/21
ABNB,181.21,Call,190,02/12/21,9,4.7,6.5,8.3,6.06,701,314,2.23,72.66%,02/02/21
FB,264.35,Call,270,02/05/21,2,2.5,2.64,2.78,2.66,17504,7862,2.23,41.22%,02/02/21
IQ,22.54,Put,21.5,02/05/21,2,0.1,0.21,0.32,0.22,641,289,2.22,62.93%,02/02/21
ZM,392.29,Call,400,02/05/21,2,4.8,5,5.2,5,5614,2552,2.2,59.99%,02/02/21
ZM,392.29,Call,450,02/05/21,2,0.25,0.3,0.35,0.31,1730,791,2.19,80.51%,02/02/21
PFE,35.08,Call,35.5,02/19/21,16,0.48,0.52,0.57,0.55,843,387,2.18,22.55%,02/02/21
LUV,46.06,Put,46,02/05/21,2,0.54,0.6,0.65,0.86,939,437,2.15,20.52%,02/02/21
PBR,10.92,Put,9,02/26/21,23,0.08,0.1,0.12,0.11,1201,558,2.15,55.31%,02/02/21
V,201.95,Call,195,02/05/21,2,7,7.45,7.9,8.25,1987,958,2.07,30.66%,02/02/21
ZM,392.29,Call,395,02/05/21,2,5.7,6.35,7,6.9,1147,557,2.06,59.80%,02/02/21
AMAT,103.32,Call,103,02/12/21,9,2.67,3.14,3.6,3.1,505,246,2.05,32.98%,02/02/21
SKT,13.2,Put,3,01/20/23,716,0.15,0.53,0.9,0.26,1688,823,2.05,79.57%,02/02/21
IAC,230.98,Call,200,02/19/21,16,31.6,33.95,36.3,30,1526,748,2.04,49.41%,02/02/21
XOM,45.89,Call,50,02/12/21,9,0.08,0.09,0.1,0.1,3237,1590,2.04,34.00%,02/02/21
AA,19.06,Call,21,02/12/21,9,0.22,0.25,0.27,0.25,3502,1727,2.03,0.00%,02/02/21
FB,264.35,Call,267.5,02/12/21,9,6,6.15,6.3,6.2,888,440,2.02,31.38%,02/02/21
Z,146.13,Call,150,02/05/21,2,1.55,1.73,1.9,1.62,594,296,2.01,69.07%,02/02/21
NIO,55.51,Call,48,02/05/21,2,7.2,7.3,7.4,7.9,796,397,2.01,0.00%,02/02/21
PDD,192.27,Call,210,03/19/21,44,9.15,9.65,10.15,9.94,540,270,2,64.09%,02/02/21
AMC,8.42,Put,15,02/19/21,16,6.75,7.4,8.05,8.15,2133,1075,1.98,302.13%,02/02/21
XOM,45.89,Call,46.5,02/12/21,9,0.55,0.58,0.6,0.58,580,295,1.97,28.35%,02/02/21
GME,101,Put,125,02/05/21,2,47.65,48.38,49.1,47.88,1163,591,1.97,0.00%,02/02/21
ORBC,8.13,Call,10,02/19/21,16,0.4,0.43,0.45,0.42,11241,5702,1.97,126.27%,02/02/21
ACB,13.67,Call,11,03/05/21,30,2.97,3.54,4.1,3.05,1837,937,1.96,140.79%,02/02/21
SKT,13.2,Put,5,01/20/23,716,0.04,0.72,1.4,0.76,552,285,1.94,59.01%,02/02/21
CLDR,16.73,Call,18.5,02/05/21,2,0.1,0.13,0.15,0.18,609,316,1.93,91.74%,02/02/21
XPEV,46.66,Put,48.5,02/05/21,2,2.47,2.55,2.63,2.52,649,336,1.93,98.71%,02/02/21
FB,264.35,Call,130,03/19/21,44,135.8,136.8,137.8,138.4,662,343,1.93,93.46%,02/02/21
